"rater_id"	"joke_id"	"weekend"	"useful"	"Joke"	"Timing"
19	"50"	7	"No, we might learn something here"	2	2
19	"51"	7	"No, we might learn something here"	NA	2
19	"52"	7	"No, we might learn something here"	1	NA
19	"53"	7	"No, we might learn something here"	1	1
19	"54"	7	"No, we might learn something here"	2	NA
19	"55"	7	"No, we might learn something here"	2	NA
19	"56"	7	"No, we might learn something here"	3	3
19	"57"	7	"No, we might learn something here"	2	2
19	"58"	7	"No, we might learn something here"	3	3
19	"59"	7	"No, we might learn something here"	2	4
19	"60"	7	"No, we might learn something here"	2	1
19	"61"	7	"No, we might learn something here"	1	2
19	"62"	7	"No, we might learn something here"	3	2
19	"63"	7	"No, we might learn something here"	2	3
19	"64"	7	"No, we might learn something here"	3	3
12	"1"	3	"We should do it again to learn more!"	1	2
12	"2"	3	"We should do it again to learn more!"	2	2
12	"3"	3	"We should do it again to learn more!"	3	4
12	"4"	3	"We should do it again to learn more!"	4	3
12	"5"	3	"We should do it again to learn more!"	2	2
12	"6"	3	"We should do it again to learn more!"	2	3
12	"7"	3	"We should do it again to learn more!"	3	3
12	"8"	3	"We should do it again to learn more!"	4	3
12	"9"	3	"We should do it again to learn more!"	3	3
12	"10"	3	"We should do it again to learn more!"	3	3
12	"11"	3	"We should do it again to learn more!"	2	2
12	"12"	3	"We should do it again to learn more!"	3	3
12	"13"	3	"We should do it again to learn more!"	1	3
12	"14"	3	"We should do it again to learn more!"	2	3
12	"15"	3	"We should do it again to learn more!"	1	2
12	"16"	3	"We should do it again to learn more!"	2	2
12	"17"	3	"We should do it again to learn more!"	2	2
12	"18"	3	"We should do it again to learn more!"	3	2
12	"19"	3	"We should do it again to learn more!"	2	2
12	"20"	3	"We should do it again to learn more!"	2	3
12	"21"	3	"We should do it again to learn more!"	2	2
12	"22"	3	"We should do it again to learn more!"	NA	NA
12	"23"	3	"We should do it again to learn more!"	NA	NA
12	"24"	3	"We should do it again to learn more!"	3	3
12	"25"	3	"We should do it again to learn more!"	4	2
12	"26"	3	"We should do it again to learn more!"	2	3
12	"27"	3	"We should do it again to learn more!"	3	2
12	"28"	3	"We should do it again to learn more!"	1	1
12	"29"	3	"We should do it again to learn more!"	2	2
12	"30"	3	"We should do it again to learn more!"	2	2
12	"31"	3	"We should do it again to learn more!"	3	3
12	"32"	3	"We should do it again to learn more!"	3	3
12	"33"	3	"We should do it again to learn more!"	3	3
12	"34"	3	"We should do it again to learn more!"	3	3
12	"35"	3	"We should do it again to learn more!"	2	2
12	"36"	3	"We should do it again to learn more!"	2	2
12	"37"	3	"We should do it again to learn more!"	3	3
12	"38"	3	"We should do it again to learn more!"	3	2
12	"39"	3	"We should do it again to learn more!"	2	2
12	"40"	3	"We should do it again to learn more!"	2	2
12	"41"	3	"We should do it again to learn more!"	3	3
12	"42"	3	"We should do it again to learn more!"	2	2
12	"43"	3	"We should do it again to learn more!"	2	3
12	"44"	3	"We should do it again to learn more!"	3	3
12	"45"	3	"We should do it again to learn more!"	2	2
12	"46"	3	"We should do it again to learn more!"	2	2
12	"47"	3	"We should do it again to learn more!"	1	2
12	"48"	3	"We should do it again to learn more!"	2	2
12	"49"	3	"We should do it again to learn more!"	2	2
12	"50"	3	"We should do it again to learn more!"	2	2
12	"51"	3	"We should do it again to learn more!"	2	1
12	"52"	3	"We should do it again to learn more!"	2	3
12	"53"	3	"We should do it again to learn more!"	2	2
12	"54"	3	"We should do it again to learn more!"	NA	NA
12	"55"	3	"We should do it again to learn more!"	NA	NA
12	"56"	3	"We should do it again to learn more!"	2	2
12	"57"	3	"We should do it again to learn more!"	2	2
12	"58"	3	"We should do it again to learn more!"	2	2
12	"59"	3	"We should do it again to learn more!"	4	4
12	"60"	3	"We should do it again to learn more!"	2	2
12	"61"	3	"We should do it again to learn more!"	2	2
12	"62"	3	"We should do it again to learn more!"	3	2
12	"63"	3	"We should do it again to learn more!"	2	2
12	"64"	3	"We should do it again to learn more!"	2	3
9	"1"	3	"Rubbish"	3	3
9	"2"	3	"Rubbish"	2	3
9	"3"	3	"Rubbish"	2	3
9	"4"	3	"Rubbish"	1	3
9	"5"	3	"Rubbish"	1	1
9	"6"	3	"Rubbish"	NA	NA
9	"7"	3	"Rubbish"	NA	NA
9	"8"	3	"Rubbish"	3	3
9	"9"	3	"Rubbish"	1	1
9	"10"	3	"Rubbish"	1	1
9	"11"	3	"Rubbish"	1	2
9	"12"	3	"Rubbish"	1	2
9	"13"	3	"Rubbish"	2	2
9	"14"	3	"Rubbish"	3	4
9	"15"	3	"Rubbish"	1	2
9	"16"	3	"Rubbish"	3	3
9	"17"	3	"Rubbish"	1	2
9	"18"	3	"Rubbish"	1	2
9	"19"	3	"Rubbish"	2	2
9	"20"	3	"Rubbish"	1	1
9	"21"	3	"Rubbish"	1	2
9	"22"	3	"Rubbish"	3	3
9	"23"	3	"Rubbish"	2	2
9	"24"	3	"Rubbish"	1	1
9	"25"	3	"Rubbish"	1	1
9	"26"	3	"Rubbish"	3	2
9	"27"	3	"Rubbish"	1	1
9	"28"	3	"Rubbish"	1	1
9	"29"	3	"Rubbish"	3	3
9	"30"	3	"Rubbish"	3	3
9	"31"	3	"Rubbish"	1	1
9	"32"	3	"Rubbish"	2	3
9	"33"	3	"Rubbish"	2	2
9	"34"	3	"Rubbish"	3	2
9	"35"	3	"Rubbish"	1	1
9	"36"	3	"Rubbish"	1	1
9	"37"	3	"Rubbish"	3	3
9	"38"	3	"Rubbish"	NA	NA
9	"39"	3	"Rubbish"	NA	NA
9	"40"	3	"Rubbish"	2	3
9	"41"	3	"Rubbish"	3	4
9	"42"	3	"Rubbish"	2	3
9	"43"	3	"Rubbish"	1	2
9	"44"	3	"Rubbish"	1	1
9	"45"	3	"Rubbish"	1	1
9	"46"	3	"Rubbish"	1	3
9	"47"	3	"Rubbish"	3	2
9	"48"	3	"Rubbish"	3	3
9	"49"	3	"Rubbish"	1	2
9	"50"	3	"Rubbish"	1	2
9	"51"	3	"Rubbish"	1	2
9	"52"	3	"Rubbish"	1	2
9	"53"	3	"Rubbish"	1	1
9	"54"	3	"Rubbish"	2	3
9	"55"	3	"Rubbish"	2	2
9	"56"	3	"Rubbish"	2	3
9	"57"	3	"Rubbish"	2	2
9	"58"	3	"Rubbish"	1	2
9	"59"	3	"Rubbish"	1	1
9	"60"	3	"Rubbish"	2	1
9	"61"	3	"Rubbish"	1	1
9	"62"	3	"Rubbish"	1	1
9	"63"	3	"Rubbish"	1	2
9	"64"	3	"Rubbish"	2	3
22	"1"	9	"We should do it again to learn more!"	3	3
22	"2"	9	"We should do it again to learn more!"	3	3
22	"3"	9	"We should do it again to learn more!"	4	4
22	"4"	9	"We should do it again to learn more!"	3	3
22	"5"	9	"We should do it again to learn more!"	3	3
22	"6"	9	"We should do it again to learn more!"	2	2
22	"7"	9	"We should do it again to learn more!"	4	4
